,value,metric,type
282,0.03676375948730059,ade,best_of
283,0.37201779567735627,ade,best_of
284,0.4010029853177839,ade,best_of
285,0.03708255676003625,ade,best_of
286,0.058439593572934066,ade,best_of
287,0.8423185949179093,ade,best_of
288,0.4377136327277161,ade,best_of
289,0.6767060870051603,ade,best_of
290,0.04819930101188039,ade,best_of
291,0.06132447759561161,ade,best_of
292,0.8872791270501087,ade,best_of
293,0.9043080448989359,ade,best_of
294,0.4261618757065044,ade,best_of
295,0.030918187936059983,ade,best_of
296,0.02569440229767309,ade,best_of
297,0.7578168668633193,ade,best_of
298,0.5946880000364146,ade,best_of
299,0.22413046571175585,ade,best_of
300,0.03563769312992874,ade,best_of
301,0.025283150986206853,ade,best_of
302,0.9408267033507068,ade,best_of
303,0.7469385807846468,ade,best_of
304,0.03507884882547916,ade,best_of
305,0.03466067420197302,ade,best_of
306,0.8350311498519797,ade,best_of
307,0.6171532817307827,ade,best_of
308,0.038964780695322145,ade,best_of
309,0.030587976504654505,ade,best_of
310,0.9420288135565208,ade,best_of
311,0.7200691774048336,ade,best_of
312,0.044771087291698514,ade,best_of
313,0.029121180828710833,ade,best_of
314,0.5482924016201381,ade,best_of
315,0.49964026142240553,ade,best_of
316,0.05087497122345249,ade,best_of
317,0.024355013732586556,ade,best_of
318,0.5941102008269085,ade,best_of
319,0.7857125992770025,ade,best_of
320,0.054708301398434,ade,best_of
321,0.03912027199003353,ade,best_of
322,0.8182231153143066,ade,best_of
323,0.8029569243847461,ade,best_of
324,0.051846345616324875,ade,best_of
325,0.023661921295516013,ade,best_of
326,0.8475055369090075,ade,best_of
327,0.7789009873263645,ade,best_of
328,0.060659142686100904,ade,best_of
329,0.0303714660525421,ade,best_of
330,0.882197939017788,ade,best_of
331,1.0900436214913571,ade,best_of
332,0.046958672724370626,ade,best_of
333,0.0478847221050878,ade,best_of
334,0.598717398738156,ade,best_of
335,0.5416679920776244,ade,best_of
336,0.03530092623228063,ade,best_of
337,0.06359813188398111,ade,best_of
338,0.8208141074066816,ade,best_of
339,1.0686240839877024,ade,best_of
340,0.03829479187382742,ade,best_of
341,0.047120992714892423,ade,best_of
342,0.9874755155230336,ade,best_of
343,0.8458647909136864,ade,best_of
344,0.22620342783481276,ade,best_of
345,0.17270548748061645,ade,best_of
346,0.33964154205501157,ade,best_of
347,0.6413178402301475,ade,best_of
348,0.37185234956126373,ade,best_of
349,0.2538310449976266,ade,best_of
350,0.24976761147478363,ade,best_of
351,0.3096082616697508,ade,best_of
352,0.03923192015743422,ade,best_of
353,0.050797746259378794,ade,best_of
354,0.0546402734086965,ade,best_of
355,0.05007219880468728,ade,best_of
356,0.03923862454513222,ade,best_of
357,0.045276175411794135,ade,best_of
358,0.08499349835129555,ade,best_of
359,0.02335910996971508,ade,best_of
360,0.04286059836427558,ade,best_of
361,0.008607466776471845,ade,best_of
362,0.043258461752313876,ade,best_of
363,0.04255375643774664,ade,best_of
364,0.07701651144517703,ade,best_of
365,0.03007715607636233,ade,best_of
366,0.05952191120703635,ade,best_of
367,0.011830972777136331,ade,best_of
368,0.07737599450068,ade,best_of
369,0.3012227664547628,ade,best_of
370,0.23995915865365083,ade,best_of
371,0.04821117380427233,ade,best_of
372,0.01326587263214857,ade,best_of
373,0.06502180703017005,ade,best_of
374,0.244638254726939,ade,best_of
375,0.3783678598761313,ade,best_of
376,0.07571885624911827,ade,best_of
377,0.012086381716367216,ade,best_of
378,0.052192215509278723,ade,best_of
379,0.0935452493038254,ade,best_of
380,0.22287326839410979,ade,best_of
381,0.10451812903544651,ade,best_of
382,0.020513558809857054,ade,best_of
383,0.06533057044493969,ade,best_of
384,0.41675191084077484,ade,best_of
385,0.09663607599782599,ade,best_of
386,0.024263939940305693,ade,best_of
387,0.01292709614587832,ade,best_of
388,0.10636610346121372,ade,best_of
389,0.3220468635697041,ade,best_of
390,0.15748053919736857,ade,best_of
391,0.03814364544007801,ade,best_of
392,0.017416762879478298,ade,best_of
393,0.06294819909232727,ade,best_of
394,0.18508553948127404,ade,best_of
395,0.11563608001874502,ade,best_of
396,0.0257687441275955,ade,best_of
397,0.010791761630104297,ade,best_of
398,0.10782823812715382,ade,best_of
399,0.41827436144294167,ade,best_of
400,0.5154315429947639,ade,best_of
401,0.030044141332116178,ade,best_of
402,0.011867185602031913,ade,best_of
403,0.051451399139876425,ade,best_of
404,0.03978759115132304,ade,best_of
405,0.013478773408864136,ade,best_of
406,0.05254792896220432,ade,best_of
407,0.05981906196446971,ade,best_of
408,0.8025640404631549,ade,best_of
409,0.010238237490438897,ade,best_of
410,0.1164600953028403,ade,best_of
411,0.03267577525873101,ade,best_of
412,1.0649915866513253,ade,best_of
413,0.012179542163461177,ade,best_of
414,0.038226511232312944,ade,best_of
415,0.05673028574414285,ade,best_of
416,1.4374152341082274,ade,best_of
417,0.00937083254320708,ade,best_of
418,0.045209525827712004,ade,best_of
419,0.057392479824697,ade,best_of
420,1.0515093585408517,ade,best_of
421,0.006631966246914361,ade,best_of
422,0.036405124978685054,ade,best_of
