,value,metric,type
62,0.0325056426980993,fde,best_of
63,0.14657556329826663,fde,best_of
64,0.13833147789127195,fde,best_of
65,0.008997438415141808,fde,best_of
66,0.0048876630868588625,fde,best_of
67,0.06614686023370779,fde,best_of
68,0.026388559157262077,fde,best_of
69,0.03566453404666489,fde,best_of
70,0.0630667953841575,fde,best_of
71,0.0024001736785772185,fde,best_of
72,0.010179916321122928,fde,best_of
73,0.031186296624621666,fde,best_of
74,0.03627751144567498,fde,best_of
75,0.0175575844717537,fde,best_of
76,0.05339543183910704,fde,best_of
77,0.022568718216511883,fde,best_of
78,0.018496300398612813,fde,best_of
79,0.12702717867941699,fde,best_of
80,0.1203210485104685,fde,best_of
81,0.14055871120740435,fde,best_of
82,0.1220144508170981,fde,best_of
83,0.13727526433531306,fde,best_of
84,0.018834167306942897,fde,best_of
85,0.051003884971737155,fde,best_of
86,0.0166921369842635,fde,best_of
87,0.006048050665163275,fde,best_of
88,0.007507927009960855,fde,best_of
89,0.058836458007633576,fde,best_of
90,0.08104815950571863,fde,best_of
91,0.04614521650523937,fde,best_of
92,0.0736285344458558,fde,best_of
93,0.18892689799832346,fde,best_of
94,0.20261843367738527,fde,best_of
95,0.250683492851823,fde,best_of
96,0.17039349624523756,fde,best_of
97,0.09873637795034812,fde,best_of
98,0.2128700136520457,fde,best_of
99,0.27394692861307274,fde,best_of
100,0.12131444228426412,fde,best_of
101,0.17684539971340918,fde,best_of
102,0.09167119633989668,fde,best_of
103,0.10679287192416909,fde,best_of
104,0.011640225769991984,fde,best_of
105,0.014075357907852372,fde,best_of
106,0.010021012589312418,fde,best_of
107,0.012599854176129209,fde,best_of
108,0.0080697371775065,fde,best_of
109,0.014048980090133157,fde,best_of
110,0.00931906845913768,fde,best_of
111,0.015613493411750808,fde,best_of
112,0.02069044160380959,fde,best_of
113,0.021780143671332675,fde,best_of
114,0.01787698567736844,fde,best_of
115,0.013061594673766512,fde,best_of
116,0.02043398255717791,fde,best_of
117,0.018537016372389366,fde,best_of
118,0.016705353595208926,fde,best_of
119,0.006092747404728295,fde,best_of
120,0.02006033080479221,fde,best_of
121,0.01178990804925033,fde,best_of
122,0.0032789261528311524,fde,best_of
123,0.02195383861480813,fde,best_of
124,0.011822536161628745,fde,best_of
125,0.020138277297308067,fde,best_of
126,0.013152951320673702,fde,best_of
127,0.0016250902527716981,fde,best_of
128,0.01612978088819702,fde,best_of
129,0.013045335363934017,fde,best_of
130,0.01133320965575255,fde,best_of
131,0.011054960483425842,fde,best_of
132,0.011825847211141225,fde,best_of
133,0.0054096403881911895,fde,best_of
134,0.01909584057439544,fde,best_of
135,0.011946110661667425,fde,best_of
136,0.010880017768210437,fde,best_of
137,0.011470121787121137,fde,best_of
138,0.01582067963236861,fde,best_of
139,0.013338609392978122,fde,best_of
140,0.16795889250758936,fde,best_of
141,0.45259123323362027,fde,best_of
142,0.25877559052268007,fde,best_of
143,0.5539327914572126,fde,best_of
144,0.4831364861716339,fde,best_of
145,0.24307591217555607,fde,best_of
146,0.6210848198847795,fde,best_of
147,0.5216666934562144,fde,best_of
148,0.44879603287721187,fde,best_of
149,0.8096434081983582,fde,best_of
150,0.03527231609755512,fde,best_of
151,0.005836362599895011,fde,best_of
152,0.469241611214347,fde,best_of
153,1.6259910360885428,fde,best_of
154,0.006173619168148081,fde,best_of
155,0.01500651972759739,fde,best_of
156,1.2254273115449523,fde,best_of
157,0.7111950029499813,fde,best_of
158,0.0255033725546136,fde,best_of
159,0.004486560339464148,fde,best_of
160,1.1712398035200222,fde,best_of
161,0.4255762511266374,fde,best_of
162,0.031745337957260804,fde,best_of
163,0.0020632740994875397,fde,best_of
164,0.724833383158235,fde,best_of
165,1.1530717351262465,fde,best_of
166,0.03154853644516723,fde,best_of
167,0.008196262407773523,fde,best_of
168,0.8255779181159848,fde,best_of
169,1.23559132445706,fde,best_of
170,0.03011232468055076,fde,best_of
171,0.0013825260561889936,fde,best_of
172,0.5227406513397675,fde,best_of
173,0.7931305383938047,fde,best_of
174,0.012367796777237759,fde,best_of
175,0.012434163037047589,fde,best_of
176,0.603177413052075,fde,best_of
177,0.6518324686081773,fde,best_of
178,0.006274779730772725,fde,best_of
179,0.005488247452871202,fde,best_of
180,0.05380771476369832,fde,best_of
181,0.03464430390637989,fde,best_of
182,0.643716544200931,fde,best_of
183,0.48810900196184304,fde,best_of
184,0.06258054988854986,fde,best_of
185,0.03606860404545441,fde,best_of
186,1.1547173395449695,fde,best_of
187,0.840730515078932,fde,best_of
188,0.051492899360955136,fde,best_of
189,0.040347775577357116,fde,best_of
190,0.4972391573122569,fde,best_of
191,0.8303803072492104,fde,best_of
192,0.015749351196298014,fde,best_of
193,0.008896256076414807,fde,best_of
194,0.05033358832836194,fde,best_of
195,0.08906870112395421,fde,best_of
196,0.163889734086247,fde,best_of
197,0.02813134117051767,fde,best_of
198,0.491561567187302,fde,best_of
199,0.41360099192902666,fde,best_of
200,0.16173121781296548,fde,best_of
201,0.05893447354832144,fde,best_of
202,1.387147731212628,fde,best_of
203,0.6044581402415059,fde,best_of
204,0.08726352489871392,fde,best_of
205,0.04206457461513334,fde,best_of
206,1.1036375606401543,fde,best_of
207,0.6381845386561666,fde,best_of
208,0.06320670011319089,fde,best_of
209,0.012951666310356906,fde,best_of
210,0.40212165741592915,fde,best_of
211,1.4192219498463743,fde,best_of
212,0.019935621216457408,fde,best_of
